Id,SalePrice
1461,127636.64806562648
1462,159162.52838988972
1463,176202.04890534072
1464,185218.00059606717
1465,185712.3815559192
1466,178246.03110579593
1467,171143.60516757375
1468,169064.57465601873
1469,176782.54993875965
1470,114461.93261532385
1471,202263.9464891784
1472,92724.56465228397
1473,98362.58515071048
1474,151907.23629711758
1475,136049.41004295895
1476,384414.03968220914
1477,244210.78168103928
1478,278188.4025102092
1479,251424.78708579796
1480,494342.401825384
1481,279827.80423877307
1482,204021.8908454137
1483,179391.8602312606
1484,167722.07635892925
1485,172337.20474874252
1486,197230.19821973128
1487,306704.5341998409
1488,231202.36479336422
1489,219019.00295908735
1490,209618.222525876
1491,185980.38246951834
1492,86655.59801719655
1493,185369.65712472645
1494,279405.15851581114
1495,279732.5026111995
1496,223481.54058187813
1497,191178.81173384402
1498,158563.9617386525
1499,154464.7078243244
1500,149166.9836006051
1501,175545.952764744
1502,165324.0725930501
1503,322590.21491004026
1504,231480.9290518089
1505,228257.78244861797
1506,196984.63382542616
1507,234891.81841876055
1508,209753.5860213714
1509,168110.7191170417
1510,146818.53183174678
1511,141627.2141429714
1512,164301.52057658858
1513,143224.80401650775
1514,175660.05684055362
1515,195033.6756792146
1516,157270.7580613108
1517,148818.75989937954
1518,124082.22663674354
1519,217533.30894754283
1520,134314.3006597887
1521,138533.2786445364
1522,175683.28852050114
1523,109824.79636190843
1524,123576.28475440147
1525,124172.60777454432
1526,124089.39472889734
1527,104721.94901059434
1528,132599.08863670676
1529,142443.24073662685
1530,174122.4025386431
1531,128577.86851718594
1532,104739.07256207474
1533,141767.34554918893
1534,114579.14730971759
1535,159379.85479549624
1536,114788.6642643448
1537,68582.07084072773
1538,193482.1723577921
1539,221126.54986649883
1540,93795.54432345617
1541,153700.3466582016
1542,137544.78394967705
1543,227285.5052003112
1544,81839.47801370513
1545,112304.5006093981
1546,130987.70017827897
1547,145105.38573591062
1548,135890.54068453045
1549,112955.81853315828
1550,146154.08328705738
1551,102803.1797879292
1552,124806.76854700096
1553,158712.70396968912
1554,114336.34274601967
1555,176332.91051568434
1556,71367.72289616555
1557,105164.96384867406
1558,93863.97370030629
1559,86063.62860105364
1560,141752.84414732194
1561,126575.37953448878
1562,127871.5895588086
1563,118589.10889647038
1564,158104.17175812725
1565,150034.97128892172
1566,229066.79143627826
1567,76926.15612104484
1568,231773.71860903688
1569,145168.5058325924
1570,130923.10283469873
1571,134267.60042577732
1572,155115.20433396482
1573,261044.68985813487
1574,117220.42783445006
1575,211440.13937293564
1576,211923.694318155
1577,207618.23172245978
1578,149820.54979309582
1579,147185.08730197608
1580,198216.4721580398
1581,153902.87837019318
1582,129397.79124988925
1583,337071.9129098539
1584,235507.59702839024
1585,143665.72638838933
1586,82061.3537083932
1587,87891.18735526755
1588,150784.3318062463
1589,96635.29052489897
1590,124497.80131508545
1591,99216.76524207719
1592,123165.34984031008
1593,120151.18390549856
1594,131856.2023091101
1595,111064.4420288238
1596,235241.22238761547
1597,188089.43906832414
1598,194127.4375878324
1599,198371.9297293541
1600,179878.9616875218
1601,73080.1886400104
1602,107903.90405292291
1603,90136.92248271998
1604,275792.66139926005
1605,235938.95082096994
1606,166716.8678121696
1607,155652.73873302963
1608,207260.01938027595
1609,199796.23702811977
1610,158683.96096530865
1611,134216.61136474583
1612,155121.5145061239
1613,158809.05123351232
1614,123640.36310147832
1615,81447.5397967109
1616,73297.19659716656
1617,90153.42148567292
1618,128118.95877953745
